,locus_tag,species,cluster_rep,fold
XP_003670139.1,NDAI_0E00800,n_dai,n_dai:XP_003670139.1,0
XP_003670140.1,NDAI_0E00810,n_dai,XP_003670140.1,1
XP_003670141.1,NDAI_0E00820,n_dai,XP_003670141.1,0
XP_003670143.1,NDAI_0E00840,n_dai,XP_003670143.1,2
XP_003670144.1,NDAI_0E00850,n_dai,n_cas:XP_003675582.1,4
XP_003670145.1,NDAI_0E00860,n_dai,c_tro:XP_002549114.1,2
XP_003670146.1,NDAI_0E00870,n_dai,XP_003670146.1,2
XP_003670147.1,NDAI_0E00880,n_dai,XP_003670147.1,1
XP_003670148.1,NDAI_0E00890,n_dai,XP_003670148.1,3
XP_003670149.1,NDAI_0E00900,n_dai,XP_003670149.1,0
XP_003670150.1,NDAI_0E00910,n_dai,n_dai:XP_003670150.1,4
XP_003670151.1,NDAI_0E00920,n_dai,XP_003670151.1,2
XP_003670152.1,NDAI_0E00930,n_dai,s_cer:NP_014914.1,2
XP_003670153.1,NDAI_0E00940,n_dai,n_cas:XP_003674505.1,0
XP_003670154.1,NDAI_0E00950,n_dai,XP_003670154.1,2
XP_003670155.1,NDAI_0E00960,n_dai,XP_003670155.1,4
XP_003670157.1,NDAI_0E00980,n_dai,XP_003670157.1,3
XP_003670159.1,NDAI_0E01000,n_dai,s_cer:NP_014905.1,2
XP_003670160.1,NDAI_0E01010,n_dai,XP_003670160.1,4
XP_003670161.1,NDAI_0E01020,n_dai,z_rou:XP_002497719.1,1
XP_003670162.1,NDAI_0E01030,n_dai,XP_003670162.1,0
XP_003670163.1,NDAI_0E01040,n_dai,XP_003670163.1,4
XP_003670165.1,NDAI_0E01060,n_dai,XP_003670165.1,0
XP_003670166.1,NDAI_0E01070,n_dai,XP_003670166.1,4
XP_003670167.1,NDAI_0E01080,n_dai,XP_003670167.1,3
XP_003670168.1,NDAI_0E01090,n_dai,XP_003670168.1,0
XP_003670171.1,NDAI_0E01120,n_dai,XP_003670171.1,1
XP_003670172.1,NDAI_0E01130,n_dai,XP_003670172.1,0
XP_003670173.1,NDAI_0E01140,n_dai,n_cas:XP_003674586.1,4
XP_003670175.1,NDAI_0E01160,n_dai,XP_003670175.1,1
XP_003670176.1,NDAI_0E01170,n_dai,k_nag:XP_022465558.1,2
XP_003670177.1,NDAI_0E01180,n_dai,n_cas:XP_003674619.1,1
XP_003670179.1,NDAI_0E01200,n_dai,XP_003670179.1,1
XP_003670180.1,NDAI_0E01210,n_dai,XP_003670180.1,2
XP_003670181.1,NDAI_0E01220,n_dai,XP_003670181.1,3
XP_003670182.1,NDAI_0E01230,n_dai,XP_003670182.1,2
XP_003670183.1,NDAI_0E01240,n_dai,XP_003670183.1,3
XP_003670184.1,NDAI_0E01250,n_dai,XP_003670184.1,2
XP_003670185.1,NDAI_0E01260,n_dai,XP_003670185.1,2
XP_003670187.1,NDAI_0E01280,n_dai,z_rou:XP_002497496.1,0
XP_003670188.1,NDAI_0E01290,n_dai,XP_003670188.1,2
XP_003670189.1,NDAI_0E01300,n_dai,k_mar:XP_022675096.1,0
XP_003670190.1,NDAI_0E01310,n_dai,XP_003670190.1,3
XP_003670191.1,NDAI_0E01320,n_dai,XP_003670191.1,3
XP_003670192.1,NDAI_0E01330,n_dai,n_cas:XP_003674603.1,3
XP_003670193.1,NDAI_0E01340,n_dai,n_cas:XP_003674602.1,0
XP_003670195.1,NDAI_0E01360,n_dai,XP_003670195.1,3
XP_003670196.1,NDAI_0E01370,n_dai,n_cas:XP_003674599.1,3
XP_003670197.1,NDAI_0E01380,n_dai,k_afr:XP_003958355.1,1
XP_003670198.1,NDAI_0E01390,n_dai,XP_003670198.1,0
XP_003670199.1,NDAI_0E01400,n_dai,XP_003670199.1,3
XP_003670200.1,NDAI_0E01410,n_dai,XP_003670200.1,2
XP_003670201.1,NDAI_0E01420,n_dai,XP_003670201.1,1
XP_003670203.1,NDAI_0E01440,n_dai,XP_003670203.1,1
XP_003670204.1,NDAI_0E01450,n_dai,XP_003670204.1,3
XP_003670205.1,NDAI_0E01460,n_dai,XP_003670205.1,2
XP_003670207.1,NDAI_0E01480,n_dai,s_cer:NP_015196.1,3
XP_003670209.1,NDAI_0E01500,n_dai,n_cas:XP_003674624.1,0
XP_003670211.1,NDAI_0E01520,n_dai,k_nag:XP_022462256.1,0
XP_003670212.1,NDAI_0E01530,n_dai,c_alb:XP_019330917.1,1
XP_003670213.1,NDAI_0E01540,n_dai,XP_003670213.1,0
XP_003670214.1,NDAI_0E01550,n_dai,k_nag:XP_022462258.1,0
XP_003670216.1,NDAI_0E01570,n_dai,n_cas:XP_003674629.1,4
XP_003670217.1,NDAI_0E01580,n_dai,XP_003670217.1,2
XP_003670218.1,NDAI_0E01590,n_dai,c_gla:XP_448898.1,3
XP_003670219.1,NDAI_0E01600,n_dai,c_gla:XP_448899.1,2
XP_003670220.1,NDAI_0E01610,n_dai,XP_003670220.1,2
XP_003670221.1,NDAI_0E01620,n_dai,XP_003670221.1,3
XP_003670222.1,NDAI_0E01630,n_dai,XP_003670222.1,2
XP_003670223.1,NDAI_0E01640,n_dai,e_gos:NP_986897.1,3
XP_003670224.1,NDAI_0E01650,n_dai,c_gla:XP_449080.1,1
XP_003670225.1,NDAI_0E01660,n_dai,XP_003670225.1,4
XP_003670226.1,NDAI_0E01670,n_dai,XP_003670226.1,1
XP_003670228.1,NDAI_0E01690,n_dai,k_afr:XP_003958003.1,2
XP_003670229.1,NDAI_0E01700,n_dai,XP_003670229.1,1
XP_003670230.1,NDAI_0E01710,n_dai,z_rou:XP_002494731.1,0
XP_003670231.1,NDAI_0E01720,n_dai,k_afr:XP_003955939.1,1
XP_003670232.1,NDAI_0E01730,n_dai,k_lac:XP_454946.1,2
XP_003670234.1,NDAI_0E01750,n_dai,n_dai:XP_003670234.1,1
XP_003670237.1,NDAI_0E01780,n_dai,XP_003670237.1,3
XP_003670238.1,NDAI_0E01790,n_dai,n_dai:XP_003670238.1,1
XP_003670240.1,NDAI_0E01810,n_dai,e_gos:NP_985771.1,2
XP_003670241.1,NDAI_0E01820,n_dai,XP_003670241.1,0
XP_003670242.1,NDAI_0E01830,n_dai,n_cas:XP_003673356.1,2
XP_003670243.1,NDAI_0E01840,n_dai,XP_003670243.1,4
XP_003670244.1,NDAI_0E01850,n_dai,XP_003670244.1,3
XP_003670245.1,NDAI_0E01860,n_dai,n_dai:XP_003670245.1,1
XP_003670247.1,NDAI_0E01880,n_dai,n_dai:XP_003670247.1,1
XP_003670248.1,NDAI_0E01890,n_dai,n_cas:XP_003675582.1,4
XP_003670249.1,NDAI_0E01900,n_dai,XP_003670249.1,0
XP_003670250.1,NDAI_0E01910,n_dai,c_gla:XP_445496.1,1
XP_003670251.1,NDAI_0E01920,n_dai,XP_003670251.1,1
XP_003670252.1,NDAI_0E01930,n_dai,XP_003670252.1,3
XP_003670254.1,NDAI_0E01950,n_dai,XP_003670254.1,0
XP_003670255.1,NDAI_0E01960,n_dai,XP_003670255.1,2
XP_003670256.1,NDAI_0E01970,n_dai,XP_003670256.1,4
XP_003670257.1,NDAI_0E01980,n_dai,s_cer:NP_012784.1,0
XP_003670258.1,NDAI_0E01990,n_dai,XP_003670258.1,0
XP_003670259.1,NDAI_0E02000,n_dai,c_gla:XP_445504.1,3
XP_003670260.1,NDAI_0E02010,n_dai,XP_003670260.1,4
XP_003670261.1,NDAI_0E02020,n_dai,XP_003670261.1,0
XP_003670262.1,NDAI_0E02030,n_dai,XP_003670262.1,3
XP_003670263.1,NDAI_0E02040,n_dai,s_cer:NP_012793.2,0
XP_003670264.1,NDAI_0E02050,n_dai,k_mar:XP_022675251.1,0
XP_003670265.1,NDAI_0E02060,n_dai,XP_003670265.1,1
XP_003670266.1,NDAI_0E02070,n_dai,XP_003670266.1,3
XP_003670268.1,NDAI_0E02090,n_dai,XP_003670268.1,1
XP_003670269.1,NDAI_0E02100,n_dai,XP_003670269.1,1
XP_003670270.1,NDAI_0E02105,n_dai,s_cer:NP_015171.1,4
XP_003670271.1,NDAI_0E02110,n_dai,XP_003670271.1,1
XP_003670272.1,NDAI_0E02120,n_dai,XP_003670272.1,4
XP_003670273.1,NDAI_0E02130,n_dai,k_nag:XP_022465808.1,0
XP_003670274.1,NDAI_0E02140,n_dai,XP_003670274.1,1
XP_003670277.1,NDAI_0E02170,n_dai,XP_003670277.1,4
XP_003670278.1,NDAI_0E02180,n_dai,k_afr:XP_003958813.1,3
XP_003670279.1,NDAI_0E02190,n_dai,XP_003670279.1,0
XP_003670281.1,NDAI_0E02210,n_dai,XP_003670281.1,0
XP_003670282.1,NDAI_0E02220,n_dai,XP_003670282.1,3
XP_003670284.1,NDAI_0E02240,n_dai,XP_003670284.1,3
XP_003670285.1,NDAI_0E02250,n_dai,c_dub:XP_002421380.1,3
XP_003670286.1,NDAI_0E02260,n_dai,k_nag:XP_022466478.1,4
XP_003670287.1,NDAI_0E02270,n_dai,XP_003670287.1,3
XP_003670288.1,NDAI_0E02280,n_dai,n_cas:XP_003674599.1,3
XP_003670289.1,NDAI_0E02290,n_dai,XP_003670289.1,4
XP_003670290.1,NDAI_0E02300,n_dai,XP_003670290.1,1
XP_003670292.1,NDAI_0E02320,n_dai,XP_003670292.1,0
XP_003670293.1,NDAI_0E02330,n_dai,s_cer:NP_015180.1,2
XP_003670294.1,NDAI_0E02340,n_dai,XP_003670294.1,1
XP_003670295.1,NDAI_0E02350,n_dai,XP_003670295.1,3
XP_003670299.1,NDAI_0E02390,n_dai,XP_003670299.1,2
XP_003670300.1,NDAI_0E02400,n_dai,XP_003670300.1,3
XP_003670301.1,NDAI_0E02410,n_dai,n_cas:XP_003675525.1,4
XP_003670302.1,NDAI_0E02420,n_dai,XP_003670302.1,1
XP_003670303.1,NDAI_0E02430,n_dai,c_gla:XP_448898.1,3
XP_003670304.1,NDAI_0E02440,n_dai,XP_003670304.1,4
XP_003670305.1,NDAI_0E02450,n_dai,c_gla:XP_448008.1,2
XP_003670307.1,NDAI_0E02470,n_dai,XP_003670307.1,3
XP_003670308.1,NDAI_0E02480,n_dai,n_cas:XP_003675532.1,4
XP_003670309.1,NDAI_0E02490,n_dai,XP_003670309.1,0
XP_003670310.1,NDAI_0E02500,n_dai,XP_003670310.1,1
XP_003670311.1,NDAI_0E02510,n_dai,XP_003670311.1,3
XP_003670313.1,NDAI_0E02530,n_dai,XP_003670313.1,0
XP_003670314.1,NDAI_0E02540,n_dai,XP_003670314.1,2
XP_003670315.1,NDAI_0E02550,n_dai,XP_003670315.1,3
XP_003670316.1,NDAI_0E02560,n_dai,c_dub:XP_002419843.1,0
XP_003670317.1,NDAI_0E02570,n_dai,XP_003670317.1,3
XP_003670318.1,NDAI_0E02580,n_dai,XP_003670318.1,3
XP_003670319.1,NDAI_0E02590,n_dai,n_cas:XP_003674644.1,4
XP_003670321.1,NDAI_0E02610,n_dai,XP_003670321.1,2
XP_003670322.1,NDAI_0E02620,n_dai,XP_003670322.1,2
XP_003670323.1,NDAI_0E02630,n_dai,XP_003670323.1,2
XP_003670325.1,NDAI_0E02650,n_dai,XP_003670325.1,4
XP_003670326.1,NDAI_0E02660,n_dai,XP_003670326.1,4
XP_003670327.1,NDAI_0E02670,n_dai,XP_003670327.1,2
XP_003670328.1,NDAI_0E02680,n_dai,n_cas:XP_003675552.1,2
XP_003670329.1,NDAI_0E02690,n_dai,s_cer:NP_015235.1,3
XP_003670331.1,NDAI_0E02710,n_dai,XP_003670331.1,3
XP_003670333.1,NDAI_0E02730,n_dai,XP_003670333.1,0
XP_003670334.1,NDAI_0E02740,n_dai,n_cas:XP_003675559.1,3
XP_003670335.1,NDAI_0E02750,n_dai,s_cer:NP_015244.1,2
XP_003670336.1,NDAI_0E02760,n_dai,k_afr:XP_003958996.1,0
XP_003670337.1,NDAI_0E02770,n_dai,XP_003670337.1,2
XP_003670339.1,NDAI_0E02790,n_dai,XP_003670339.1,1
XP_003670340.1,NDAI_0E02800,n_dai,XP_003670340.1,4
XP_003670341.1,NDAI_0E02810,n_dai,XP_003670341.1,1
XP_003670342.1,NDAI_0E02820,n_dai,XP_003670342.1,4
XP_003670344.1,NDAI_0E02840,n_dai,XP_003670344.1,1
XP_003670345.1,NDAI_0E02850,n_dai,XP_003670345.1,4
XP_003670347.1,NDAI_0E02870,n_dai,XP_003670347.1,0
XP_003670348.1,NDAI_0E02880,n_dai,n_dai:XP_003670348.1,1
XP_003670349.1,NDAI_0E02890,n_dai,e_gos:NP_984149.1,1
XP_003670350.1,NDAI_0E02900,n_dai,n_dai:XP_003667725.1,2
XP_003670351.1,NDAI_0E02910,n_dai,n_cas:XP_003675577.1,0
XP_003670353.1,NDAI_0E02930,n_dai,XP_003670353.1,4
XP_003670354.1,NDAI_0E02940,n_dai,XP_003670354.1,3
XP_003670355.1,NDAI_0E02950,n_dai,n_dai:XP_003670355.1,0
XP_003670356.1,NDAI_0E02960,n_dai,XP_003670356.1,3
XP_003670361.1,NDAI_0E03010,n_dai,k_afr:XP_003958683.1,3
XP_003670362.1,NDAI_0E03020,n_dai,s_cer:NP_015275.1,0
XP_003670363.1,NDAI_0E03030,n_dai,n_dai:XP_003670363.1,3
XP_003670364.1,NDAI_0E03040,n_dai,z_rou:XP_002497563.1,3
XP_003670365.1,NDAI_0E03050,n_dai,XP_003670365.1,3
XP_003670366.1,NDAI_0E03060,n_dai,XP_003670366.1,3
XP_003670367.1,NDAI_0E03070,n_dai,XP_003670367.1,3
XP_003670368.1,NDAI_0E03080,n_dai,XP_003670368.1,4
XP_003670370.1,NDAI_0E03100,n_dai,XP_003670370.1,4
XP_003670372.1,NDAI_0E03120,n_dai,XP_003670372.1,2
XP_003670373.1,NDAI_0E03130,n_dai,XP_003670373.1,0
XP_003670376.1,NDAI_0E03160,n_dai,XP_003670376.1,0
XP_003670377.1,NDAI_0E03170,n_dai,n_dai:XP_003670377.1,2
XP_003670378.1,NDAI_0E03180,n_dai,XP_003670378.1,1
XP_003670379.1,NDAI_0E03190,n_dai,XP_003670379.1,0
XP_003670380.1,NDAI_0E03200,n_dai,k_lac:XP_453599.1,1
XP_003670381.1,NDAI_0E03210,n_dai,XP_003670381.1,4
XP_003670382.1,NDAI_0E03220,n_dai,XP_003670382.1,2
XP_003670383.1,NDAI_0E03230,n_dai,XP_003670383.1,3
XP_003670384.1,NDAI_0E03240,n_dai,XP_003670384.1,0
XP_003670386.1,NDAI_0E03260,n_dai,XP_003670386.1,1
XP_003670387.1,NDAI_0E03270,n_dai,XP_003670387.1,0
XP_003670389.1,NDAI_0E03290,n_dai,n_cas:XP_003675615.1,2
XP_003670391.1,NDAI_0E03310,n_dai,XP_003670391.1,3
XP_003670392.1,NDAI_0E03320,n_dai,XP_003670392.1,4
XP_003670393.1,NDAI_0E03330,n_dai,s_cer:NP_010080.1,2
XP_003670394.1,NDAI_0E03340,n_dai,XP_003670394.1,3
XP_003670396.1,NDAI_0E03360,n_dai,z_rou:XP_002498619.1,1
XP_003670398.1,NDAI_0E03380,n_dai,n_dai:XP_003670398.1,2
XP_003670399.1,NDAI_0E03390,n_dai,k_nag:XP_022462182.1,1
XP_003670403.1,NDAI_0E03430,n_dai,XP_003670403.1,4
XP_003670404.1,NDAI_0E03440,n_dai,XP_003670404.1,0
XP_003670406.1,NDAI_0E03460,n_dai,XP_003670406.1,1
XP_003670408.1,NDAI_0E03480,n_dai,XP_003670408.1,4
XP_003670409.1,NDAI_0E03490,n_dai,XP_003670409.1,3
XP_003670410.1,NDAI_0E03500,n_dai,n_cas:XP_003676624.1,4
XP_003670412.1,NDAI_0E03520,n_dai,XP_003670412.1,4
XP_003670414.1,NDAI_0E03540,n_dai,XP_003670414.1,4
XP_003670415.1,NDAI_0E03550,n_dai,XP_003670415.1,3
XP_003670416.1,NDAI_0E03560,n_dai,XP_003670416.1,0
XP_003670418.1,NDAI_0E03580,n_dai,n_dai:XP_003670418.1,4
XP_003670419.1,NDAI_0E03590,n_dai,XP_003670419.1,0
XP_003670420.1,NDAI_0E03600,n_dai,XP_003670420.1,2
XP_003670421.1,NDAI_0E03610,n_dai,XP_003670421.1,4
XP_003670422.1,NDAI_0E03620,n_dai,XP_003670422.1,0
XP_003670423.1,NDAI_0E03630,n_dai,c_alb:XP_721933.1,2
XP_003670424.1,NDAI_0E03640,n_dai,XP_003670424.1,1
XP_003670426.1,NDAI_0E03660,n_dai,XP_003670426.1,0
XP_003670427.1,NDAI_0E03670,n_dai,s_cer:NP_015063.1,2
XP_003670428.1,NDAI_0E03680,n_dai,k_nag:XP_022466962.1,1
XP_003670430.1,NDAI_0E03700,n_dai,XP_003670430.1,4
XP_003670431.1,NDAI_0E03710,n_dai,XP_003670431.1,2
XP_003670434.1,NDAI_0E03740,n_dai,XP_003670434.1,0
XP_003670435.1,NDAI_0E03750,n_dai,XP_003670435.1,3
XP_003670436.1,NDAI_0E03760,n_dai,XP_003670436.1,4
XP_003670440.1,NDAI_0E03800,n_dai,n_cas:XP_003676655.1,3
XP_003670441.1,NDAI_0E03810,n_dai,XP_003670441.1,0
XP_003670442.1,NDAI_0E03820,n_dai,XP_003670442.1,4
XP_003670443.1,NDAI_0E03830,n_dai,k_lac:XP_455190.1,2
XP_003670444.1,NDAI_0E03840,n_dai,XP_003670444.1,3
XP_003670445.1,NDAI_0E03850,n_dai,XP_003670445.1,4
XP_003670446.1,NDAI_0E03860,n_dai,XP_003670446.1,3
XP_003670447.1,NDAI_0E03870,n_dai,XP_003670447.1,1
XP_003670448.1,NDAI_0E03880,n_dai,XP_003670448.1,4
XP_003670449.1,NDAI_0E03890,n_dai,s_cer:NP_009365.1,3
XP_003670450.1,NDAI_0E03900,n_dai,XP_003670450.1,0
XP_003670452.1,NDAI_0E03920,n_dai,XP_003670452.1,0
XP_003670453.1,NDAI_0E03930,n_dai,XP_003670453.1,4
XP_003670454.1,NDAI_0E03940,n_dai,k_nag:XP_022464485.1,0
XP_003670455.1,NDAI_0E03950,n_dai,k_nag:XP_022463784.1,0
XP_003670456.1,NDAI_0E03960,n_dai,XP_003670456.1,4
XP_003670457.1,NDAI_0E03970,n_dai,XP_003670457.1,1
XP_003670458.1,NDAI_0E03980,n_dai,XP_003670458.1,1
XP_003670459.1,NDAI_0E03990,n_dai,XP_003670459.1,0
XP_003670460.1,NDAI_0E04000,n_dai,n_cas:XP_003676672.1,4
XP_003670461.1,NDAI_0E04010,n_dai,XP_003670461.1,1
XP_003670463.1,NDAI_0E04030,n_dai,c_alb:XP_019331007.1,4
XP_003670464.1,NDAI_0E04040,n_dai,XP_003670464.1,1
XP_003670467.1,NDAI_0E04070,n_dai,XP_003670467.1,1
XP_003670468.1,NDAI_0E04080,n_dai,XP_003670468.1,3
XP_003670471.1,NDAI_0E04110,n_dai,XP_003670471.1,4
XP_003670472.1,NDAI_0E04120,n_dai,XP_003670472.1,4
XP_003670473.1,NDAI_0E04130,n_dai,c_dub:XP_002417204.1,1
XP_003670474.1,NDAI_0E04140,n_dai,k_lac:XP_454879.1,2
XP_003670475.1,NDAI_0E04150,n_dai,s_cer:NP_009396.2,1
XP_003670476.1,NDAI_0E04160,n_dai,k_mar:XP_022678412.1,1
XP_003670477.1,NDAI_0E04170,n_dai,XP_003670477.1,3
XP_003670478.1,NDAI_0E04180,n_dai,XP_003670478.1,3
XP_003670479.1,NDAI_0E04190,n_dai,XP_003670479.1,2
XP_003670480.1,NDAI_0E04200,n_dai,XP_003670480.1,2
XP_003670481.1,NDAI_0E04210,n_dai,XP_003670481.1,3
XP_003670482.1,NDAI_0E04220,n_dai,XP_003670482.1,0
XP_003670484.1,NDAI_0E04240,n_dai,XP_003670484.1,0
XP_003670485.1,NDAI_0E04250,n_dai,XP_003670485.1,3
XP_003670487.1,NDAI_0E04270,n_dai,XP_003670487.1,4
XP_003670489.1,NDAI_0E04290,n_dai,XP_003670489.1,4
XP_003670490.1,NDAI_0E04300,n_dai,XP_003670490.1,4
XP_003670492.1,NDAI_0E04320,n_dai,XP_003670492.1,2
XP_003670493.1,NDAI_0E04330,n_dai,c_gla:XP_447832.1,2
XP_003670494.1,NDAI_0E04340,n_dai,n_dai:XP_003670494.1,1
XP_003670495.1,NDAI_0E04350,n_dai,XP_003670495.1,2
XP_003670497.1,NDAI_0E04370,n_dai,s_cer:NP_010973.3,3
XP_003670499.1,NDAI_0E04390,n_dai,XP_003670499.1,3
XP_003670500.1,NDAI_0E04400,n_dai,XP_003670500.1,3
XP_003670501.1,NDAI_0E04410,n_dai,XP_003670501.1,1
XP_003670503.1,NDAI_0E04430,n_dai,XP_003670503.1,4
XP_003670504.1,NDAI_0E04440,n_dai,k_lac:XP_454834.1,3
XP_003670506.1,NDAI_0E04460,n_dai,XP_003670506.1,4
XP_003670507.1,NDAI_0E04470,n_dai,XP_003670507.1,4
XP_003670508.1,NDAI_0E04480,n_dai,n_cas:XP_003676717.1,2
XP_003670510.1,NDAI_0E04500,n_dai,XP_003670510.1,1
XP_003670511.1,NDAI_0E04510,n_dai,XP_003670511.1,2
XP_003670512.1,NDAI_0E04520,n_dai,XP_003670512.1,0
XP_003670513.1,NDAI_0E04530,n_dai,XP_003670513.1,0
XP_003670516.1,NDAI_0E04560,n_dai,s_cer:NP_010967.3,0
XP_003670517.1,NDAI_0E04570,n_dai,XP_003670517.1,4
XP_003670518.1,NDAI_0E04580,n_dai,n_cas:XP_003676725.1,2
XP_003670520.1,NDAI_0E04600,n_dai,XP_003670520.1,4
XP_003670521.1,NDAI_0E04610,n_dai,XP_003670521.1,3
XP_003670522.1,NDAI_0E04620,n_dai,XP_003670522.1,4
XP_003670523.1,NDAI_0E04630,n_dai,XP_003670523.1,4
XP_003670529.1,NDAI_0E04690,n_dai,XP_003670529.1,1
XP_003670530.1,NDAI_0E04700,n_dai,n_dai:XP_003670530.1,2
XP_003670533.1,NDAI_0E04730,n_dai,XP_003670533.1,3
XP_003670534.1,NDAI_0E04740,n_dai,c_gla:XP_449882.1,4
XP_003670535.1,NDAI_0E04750,n_dai,n_cas:XP_003676751.1,2
XP_003670536.1,NDAI_0E04760,n_dai,s_cer:NP_010979.1,1
XP_003670538.1,NDAI_0E04780,n_dai,c_gla:XP_447832.1,2
XP_003670539.1,NDAI_0E04790,n_dai,XP_003670539.1,0
XP_003670540.1,NDAI_0E04800,n_dai,k_lac:XP_452565.1,3
XP_003670542.1,NDAI_0E04820,n_dai,k_afr:XP_003959837.1,1
XP_003670544.1,NDAI_0E04840,n_dai,XP_003670544.1,1
XP_003670545.1,NDAI_0E04850,n_dai,XP_003670545.1,4
XP_003670546.1,NDAI_0E04860,n_dai,XP_003670546.1,0
XP_003670547.1,NDAI_0E04870,n_dai,n_dai:XP_003670547.1,2
XP_003670548.1,NDAI_0E04880,n_dai,k_nag:XP_022467024.1,2
XP_003670549.1,NDAI_0E04890,n_dai,k_lac:XP_452551.1,0
XP_003670550.1,NDAI_0E04900,n_dai,XP_003670550.1,4
XP_003670552.1,NDAI_0E04920,n_dai,n_cas:XP_003676765.1,4
XP_003670553.1,NDAI_0E04930,n_dai,e_gos:NP_983360.1,1
XP_003670556.1,NDAI_0E04960,n_dai,XP_003670556.1,4
XP_003670557.1,NDAI_0E04970,n_dai,c_gla:XP_446463.1,2
XP_003670558.1,NDAI_0E04980,n_dai,XP_003670558.1,0
XP_003670561.1,NDAI_0E05010,n_dai,k_afr:XP_003958569.1,2
XP_003670562.1,NDAI_0E05020,n_dai,k_nag:XP_022463996.1,1
XP_003670563.1,NDAI_0E05030,n_dai,k_mar:XP_022675837.1,3
XP_003670566.1,NDAI_0E05060,n_dai,XP_003670566.1,0
XP_003670567.1,NDAI_0E05070,n_dai,XP_003670567.1,4
XP_003670568.1,NDAI_0E05080,n_dai,e_gos:NP_985839.1,0
XP_003670570.1,NDAI_0E05100,n_dai,XP_003670570.1,3
XP_003670572.1,NDAI_0F00100,n_dai,n_dai:XP_003670572.1,4
XP_003670575.1,NDAI_0F00130,n_dai,n_dai:XP_003667746.1,4
XP_003670576.1,NDAI_0F00140,n_dai,XP_003670576.1,0
XP_003670579.1,NDAI_0F00170,n_dai,XP_003670579.1,2
XP_003670580.1,NDAI_0F00180,n_dai,n_cas:XP_003677255.1,0
XP_003670581.1,NDAI_0F00190,n_dai,XP_003670581.1,3
XP_003670582.1,NDAI_0F00200,n_dai,XP_003670582.1,2
XP_003670583.1,NDAI_0F00210,n_dai,XP_003670583.1,0
XP_003670584.1,NDAI_0F00220,n_dai,XP_003670584.1,3
XP_003670585.1,NDAI_0F00230,n_dai,XP_003670585.1,1
XP_003670586.1,NDAI_0F00240,n_dai,XP_003670586.1,0
XP_003670587.1,NDAI_0F00250,n_dai,k_afr:XP_003955456.1,3
XP_003670590.1,NDAI_0F00280,n_dai,XP_003670590.1,4
XP_003670593.1,NDAI_0F00310,n_dai,XP_003670593.1,3
XP_003670594.1,NDAI_0F00320,n_dai,XP_003670594.1,4
XP_003670595.1,NDAI_0F00330,n_dai,XP_003670595.1,3
XP_003670597.1,NDAI_0F00350,n_dai,n_dai:XP_003670597.1,2
XP_003670598.1,NDAI_0F00360,n_dai,XP_003670598.1,0
XP_003670601.1,NDAI_0F00390,n_dai,XP_003670601.1,3
XP_003670602.1,NDAI_0F00400,n_dai,XP_003670602.1,0
XP_003670605.1,NDAI_0F00430,n_dai,XP_003670605.1,1
XP_003670607.1,NDAI_0F00450,n_dai,c_tro:XP_002547354.1,1
XP_003670609.1,NDAI_0F00470,n_dai,k_lac:XP_451353.1,0
XP_003670610.1,NDAI_0F00480,n_dai,XP_003670610.1,4
XP_003670612.1,NDAI_0F00500,n_dai,XP_003670612.1,4
XP_003670613.1,NDAI_0F00510,n_dai,c_gla:XP_449221.1,0
XP_003670615.1,NDAI_0F00530,n_dai,n_dai:XP_003670615.1,4
XP_003670617.1,NDAI_0F00550,n_dai,XP_003670617.1,0
XP_003670618.1,NDAI_0F00560,n_dai,XP_003670618.1,2
XP_003670620.1,NDAI_0F00580,n_dai,XP_003670620.1,1
XP_003670621.1,NDAI_0F00590,n_dai,XP_003670621.1,4
XP_003670623.1,NDAI_0F00610,n_dai,XP_003670623.1,2
XP_003670624.1,NDAI_0F00620,n_dai,XP_003670624.1,2
XP_003670627.1,NDAI_0F00650,n_dai,XP_003670627.1,2
XP_003670628.1,NDAI_0F00660,n_dai,XP_003670628.1,2
XP_003670630.1,NDAI_0F00680,n_dai,n_dai:XP_003670630.1,1
XP_003670631.1,NDAI_0F00690,n_dai,XP_003670631.1,2
XP_003670633.1,NDAI_0F00710,n_dai,XP_003670633.1,3
XP_003670635.1,NDAI_0F00730,n_dai,XP_003670635.1,3
XP_003670636.1,NDAI_0F00740,n_dai,XP_003670636.1,0
XP_003670637.1,NDAI_0F00750,n_dai,XP_003670637.1,2
XP_003670638.1,NDAI_0F00760,n_dai,k_mar:XP_022674205.1,2
XP_003670639.1,NDAI_0F00770,n_dai,XP_003670639.1,2
XP_003670641.1,NDAI_0F00790,n_dai,XP_003670641.1,0
XP_003670644.1,NDAI_0F00820,n_dai,XP_003670644.1,3
XP_003670646.1,NDAI_0F00840,n_dai,XP_003670646.1,0
XP_003670653.1,NDAI_0F00910,n_dai,s_cer:NP_014670.1,3
XP_003670654.1,NDAI_0F00920,n_dai,XP_003670654.1,0
XP_003670655.1,NDAI_0F00930,n_dai,XP_003670655.1,2
XP_003670658.1,NDAI_0F00960,n_dai,s_cer:NP_009577.1,1
XP_003670659.1,NDAI_0F00970,n_dai,XP_003670659.1,1
XP_003670660.1,NDAI_0F00980,n_dai,XP_003670660.1,2
XP_003670661.1,NDAI_0F00990,n_dai,k_afr:XP_003955893.1,2
XP_003670662.1,NDAI_0F01000,n_dai,XP_003670662.1,1
